Read new prefs: /home/juan/.config/blender/2.76/config/userpref.blend
read blend: /home/juan/Documents/William/William.blend
Dependency cycle detected:
  Plane.001 depends on Cube.001 through Cloth Collision.
  Cube.001 depends on Plane.001 through Field Collision.

Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.003
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.001
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane
Fra:0 Mem:103.91M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Text
Fra:0 Mem:111.42M (0.00M, Peak 371.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.001
Fra:0 Mem:113.71M (0.00M, Peak 371.19M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube.001
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.01 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.30 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.32 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.35 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Objects Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images | Loading wood_texture.jpg
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Camera Volume
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Film
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Integrator
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Baking
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Path Tracing Tile 0/12, Sample 0/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 0/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:02.43 | Remaining:04:35.40 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 7/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:03.50 | Remaining:03:48.36 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 14/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:04.62 | Remaining:03:23.97 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 22/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:05.63 | Remaining:03:14.83 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 29/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:06.65 | Remaining:03:08.88 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 36/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:07.79 | Remaining:03:03.40 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 44/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:08.79 | Remaining:02:59.82 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 51/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:09.80 | Remaining:02:56.95 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 58/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:10.81 | Remaining:02:54.61 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 65/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:11.95 | Remaining:02:52.03 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 73/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:13.08 | Remaining:02:49.56 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 81/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:14.09 | Remaining:02:47.77 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 88/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:15.11 | Remaining:02:46.39 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 95/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:15.82 | Remaining:02:45.15 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 100/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:15.83 | Remaining:02:45.19 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 0/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:16.13 | Remaining:02:44.92 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 2/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:17.20 | Remaining:02:44.07 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 9/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:18.29 | Remaining:02:43.33 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 16/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:19.31 | Remaining:02:41.95 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 23/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:20.36 | Remaining:02:40.91 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 30/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:21.40 | Remaining:02:39.79 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 37/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:22.42 | Remaining:02:38.49 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 44/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:23.44 | Remaining:02:37.18 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 51/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:24.48 | Remaining:02:36.07 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 58/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:25.55 | Remaining:02:35.21 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 65/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:26.62 | Remaining:02:34.24 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 72/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:27.71 | Remaining:02:33.43 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 79/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:28.78 | Remaining:02:32.49 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 86/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:29.87 | Remaining:02:31.62 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 93/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:30.97 | Remaining:02:30.78 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 100/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:30.97 | Remaining:02:30.82 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 0/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:32.07 | Remaining:02:29.93 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 7/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:33.20 | Remaining:02:29.22 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 14/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:34.26 | Remaining:02:28.20 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 21/100
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:35.33 | Remaining:02:27.17 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 28/100
